Packet ID,Source,Destination,End-to-End Delay,Priority,Traffic Class
1,197,959,10.0,4,Video Streaming
2,768,301,10.0,3,Web Browsing
3,90,715,10.100000000000001,3,Video Streaming
4,536,554,10.100000000000001,2,Video Streaming
5,920,904,10.100000000000001,3,VoIP
6,166,977,10.4,5,Video Streaming
7,621,774,10.4,5,Web Browsing
8,649,160,10.600000000000001,3,Web Browsing
9,456,478,10.700000000000001,1,VoIP
10,975,699,10.700000000000001,3,VoIP
11,537,961,10.8,4,VoIP
12,766,437,10.9,1,Web Browsing
13,89,233,11.0,1,Web Browsing
14,474,157,11.0,1,Web Browsing
15,823,192,11.100000000000001,2,VoIP
16,17,827,11.600000000000001,1,Video Streaming
17,342,394,11.600000000000001,3,Video Streaming
18,763,938,11.700000000000001,4,Video Streaming
19,457,120,11.8,2,Video Streaming
20,809,148,11.8,1,Video Streaming
21,371,570,12.200000000000001,3,Web Browsing
22,877,588,12.200000000000001,1,Video Streaming
23,835,537,12.4,2,VoIP
24,257,778,12.5,4,Web Browsing
25,94,584,12.600000000000001,5,Web Browsing
26,103,539,12.8,2,VoIP
27,119,809,12.8,5,VoIP
28,655,622,12.8,4,VoIP
29,728,218,13.0,3,VoIP
30,415,692,13.100000000000001,4,VoIP
31,225,907,13.200000000000001,5,Web Browsing
32,66,443,13.3,3,VoIP
33,453,124,13.4,5,VoIP
34,994,361,13.5,2,Video Streaming
35,32,945,13.700000000000001,1,VoIP
36,325,571,13.700000000000001,4,Video Streaming
37,684,529,13.700000000000001,5,Web Browsing
38,688,600,13.700000000000001,5,VoIP
39,83,968,13.8,1,Video Streaming
40,322,126,13.9,4,VoIP
41,948,571,13.9,2,VoIP
42,509,426,14.0,2,Web Browsing
43,42,190,14.3,4,Video Streaming
44,170,193,14.3,4,Web Browsing
45,676,575,14.3,2,Web Browsing
46,913,434,14.3,5,VoIP
47,630,473,14.4,5,Video Streaming
48,696,183,14.4,1,Web Browsing
49,77,126,14.5,3,Web Browsing
50,779,86,14.5,2,VoIP
51,115,817,14.600000000000001,5,Video Streaming
52,292,265,14.700000000000001,3,Web Browsing
53,729,648,14.8,3,Video Streaming
54,289,416,15.0,1,Web Browsing
55,554,522,15.100000000000001,5,Video Streaming
56,527,651,15.600000000000001,5,Web Browsing
57,378,919,15.700000000000001,2,VoIP
58,87,713,15.9,3,VoIP
59,566,45,16.0,2,Web Browsing
60,75,343,16.1,3,Web Browsing
61,192,924,16.1,1,VoIP
62,534,719,16.1,2,VoIP
63,224,745,16.400000000000002,1,Web Browsing
64,461,484,16.5,4,VoIP
65,957,240,16.7,2,Web Browsing
66,294,241,16.900000000000002,4,VoIP
67,870,489,16.900000000000002,5,VoIP
68,458,844,17.0,3,VoIP
69,264,717,17.1,1,Web Browsing
70,531,662,17.1,5,Video Streaming
71,875,940,17.2,1,Video Streaming
72,834,435,17.400000000000002,2,Web Browsing
73,37,828,17.5,4,Web Browsing
74,494,252,17.8,2,VoIP
75,552,870,17.8,4,Web Browsing
76,1,719,18.0,2,Web Browsing
77,777,11,18.0,3,Web Browsing
78,273,547,18.1,5,Video Streaming
79,788,513,18.3,5,Video Streaming
80,901,181,18.3,2,Web Browsing
81,922,418,18.3,3,VoIP
82,305,306,18.400000000000002,2,Video Streaming
83,714,52,18.400000000000002,3,Video Streaming
84,339,28,18.5,4,VoIP
85,558,19,18.7,2,Video Streaming
86,201,392,18.8,1,Video Streaming
87,745,501,18.8,1,Video Streaming
88,757,923,18.900000000000002,1,Video Streaming
89,775,142,18.900000000000002,4,VoIP
90,859,53,19.0,5,Video Streaming
91,113,728,19.1,2,VoIP
92,828,924,19.1,1,Web Browsing
93,479,424,19.3,4,VoIP
94,741,414,19.3,3,VoIP
95,944,875,19.3,5,Video Streaming
96,394,345,19.5,4,VoIP
97,530,339,19.6,4,Video Streaming
98,955,312,19.700000000000003,3,VoIP
99,123,433,19.8,2,Video Streaming
100,867,531,19.900000000000002,2,Video Streaming
101,241,177,20.0,4,VoIP
102,910,266,20.0,4,Web Browsing
103,815,855,20.1,2,VoIP
104,892,446,20.1,2,VoIP
105,969,66,20.200000000000003,4,Video Streaming
106,48,104,20.3,3,Web Browsing
107,843,590,20.5,4,Video Streaming
108,229,703,20.8,3,VoIP
109,106,209,20.900000000000002,2,Video Streaming
110,144,753,20.900000000000002,5,Web Browsing
111,421,243,21.0,5,Video Streaming
112,210,553,21.1,4,Web Browsing
113,285,810,21.200000000000003,3,Video Streaming
114,646,638,21.200000000000003,3,Web Browsing
115,720,55,21.200000000000003,3,Video Streaming
116,717,814,21.5,1,Web Browsing
117,266,550,21.700000000000003,4,Video Streaming
118,55,988,21.8,4,VoIP
119,637,409,21.8,4,VoIP
120,805,707,21.8,4,Video Streaming
121,929,145,21.900000000000002,3,Web Browsing
122,340,309,22.0,4,VoIP
123,750,72,22.1,1,VoIP
124,824,710,22.1,1,Video Streaming
125,935,71,22.1,3,Web Browsing
126,773,859,22.200000000000003,3,Video Streaming
127,492,453,22.3,3,VoIP
128,844,344,22.400000000000002,3,Video Streaming
129,902,866,22.5,5,Web Browsing
130,24,923,22.700000000000003,3,Video Streaming
131,320,5,22.900000000000002,3,Web Browsing
132,365,340,22.900000000000002,2,Video Streaming
133,993,948,22.900000000000002,2,Video Streaming
134,245,340,23.0,1,Web Browsing
135,301,943,23.0,5,Web Browsing
136,629,305,23.0,5,Web Browsing
137,65,156,23.200000000000003,1,VoIP
