Packet ID,Source,Destination,End-to-End Delay,Priority,Traffic Class
1,717,677,8.416666666666666,5,VoIP
2,708,957,8.666666666666666,3,VoIP
3,179,174,8.75,5,Video Streaming
4,124,999,8.916666666666666,4,VoIP
5,343,402,9.0,3,Web Browsing
6,395,245,9.0,5,Web Browsing
7,246,254,9.083333333333332,2,Video Streaming
8,604,616,9.083333333333332,3,Video Streaming
9,21,152,9.25,5,Video Streaming
10,284,916,9.25,2,Web Browsing
11,565,625,9.25,3,Video Streaming
12,962,71,9.25,4,VoIP
13,252,379,9.416666666666666,3,VoIP
14,367,282,9.416666666666666,3,Web Browsing
15,184,390,9.5,1,VoIP
16,836,179,9.583333333333332,2,VoIP
17,927,95,9.583333333333332,2,Video Streaming
18,779,321,9.666666666666666,4,Web Browsing
19,820,850,9.666666666666666,4,Web Browsing
20,914,734,9.666666666666666,2,Web Browsing
21,685,846,9.75,3,Web Browsing
22,174,231,9.916666666666666,5,Web Browsing
23,405,793,9.916666666666666,2,VoIP
24,971,494,9.916666666666666,1,VoIP
25,427,132,10.0,1,Web Browsing
26,722,309,10.166666666666666,3,VoIP
27,852,449,10.166666666666666,1,VoIP
28,827,270,10.25,2,Video Streaming
29,204,32,10.416666666666666,2,VoIP
30,615,585,10.416666666666666,3,Web Browsing
31,96,573,10.5,3,VoIP
32,823,515,10.5,2,VoIP
33,37,165,10.666666666666666,4,Web Browsing
34,563,449,10.75,3,Video Streaming
35,777,520,10.75,5,VoIP
36,868,698,10.75,3,Video Streaming
37,310,515,10.916666666666666,1,Web Browsing
38,998,915,11.0,1,Web Browsing
39,243,586,11.166666666666666,4,Video Streaming
40,752,967,11.166666666666666,2,VoIP
41,763,990,11.25,4,Video Streaming
42,69,391,11.333333333333332,3,Web Browsing
43,18,90,11.416666666666666,5,VoIP
44,448,957,11.5,4,VoIP
45,588,674,11.5,1,Web Browsing
46,78,192,11.583333333333332,5,Video Streaming
47,515,446,11.583333333333332,5,Video Streaming
48,432,199,11.666666666666666,3,Web Browsing
49,213,320,12.0,1,VoIP
50,460,66,12.0,4,Web Browsing
51,958,267,12.0,2,Web Browsing
52,605,953,12.083333333333332,1,Video Streaming
53,701,66,12.166666666666666,5,VoIP
54,974,246,12.333333333333332,2,Video Streaming
55,28,160,12.416666666666666,3,Web Browsing
56,417,953,12.416666666666666,3,Video Streaming
57,555,215,12.5,5,Web Browsing
58,660,516,12.5,4,Web Browsing
59,718,912,12.5,3,VoIP
60,992,777,12.5,2,VoIP
61,562,240,12.583333333333332,3,Web Browsing
62,862,568,12.666666666666666,4,Web Browsing
63,350,464,12.75,5,Video Streaming
64,487,613,12.833333333333332,5,Video Streaming
65,525,364,12.833333333333332,1,Web Browsing
66,523,616,12.916666666666666,3,Video Streaming
67,159,81,13.083333333333332,5,Video Streaming
68,797,315,13.083333333333332,1,VoIP
69,843,967,13.166666666666666,4,Video Streaming
70,15,971,13.25,2,Video Streaming
71,452,581,13.333333333333332,1,Video Streaming
72,621,183,13.333333333333332,2,Web Browsing
73,54,784,13.5,3,Web Browsing
74,75,10,13.5,1,Video Streaming
75,704,623,13.583333333333332,4,Video Streaming
76,831,980,13.583333333333332,3,VoIP
77,274,422,13.666666666666666,1,Web Browsing
78,340,72,13.666666666666666,5,Web Browsing
79,791,835,13.666666666666666,4,Video Streaming
80,438,91,13.75,1,Web Browsing
81,137,175,13.833333333333332,3,Web Browsing
82,858,786,13.916666666666666,4,VoIP
83,76,631,14.0,3,VoIP
84,977,446,14.0,4,Web Browsing
85,227,582,14.083333333333332,4,VoIP
86,401,197,14.333333333333332,5,Video Streaming
87,102,232,14.416666666666666,5,Web Browsing
88,144,460,14.416666666666666,4,VoIP
89,257,714,14.583333333333332,3,VoIP
90,617,332,14.583333333333332,2,Web Browsing
91,44,390,14.75,5,Video Streaming
92,101,690,14.75,2,Video Streaming
93,165,402,14.833333333333332,5,Video Streaming
94,426,177,14.833333333333332,2,Video Streaming
95,506,264,14.833333333333332,3,Video Streaming
96,817,699,15.0,5,VoIP
97,833,689,15.0,1,Video Streaming
98,413,449,15.166666666666666,1,Web Browsing
99,326,978,15.25,3,Web Browsing
100,500,195,15.333333333333332,2,Web Browsing
